Driver,LapNumber,Compound,LapTime (s),Position
VER,1.0,MEDIUM,84.238,1.0
VER,2.0,MEDIUM,79.367,1.0
VER,3.0,MEDIUM,79.074,1.0
VER,4.0,MEDIUM,78.129,1.0
VER,5.0,MEDIUM,78.019,1.0
VER,6.0,MEDIUM,77.64,1.0
VER,7.0,MEDIUM,77.633,1.0
VER,8.0,MEDIUM,77.397,1.0
VER,9.0,MEDIUM,77.031,1.0
VER,10.0,MEDIUM,77.084,1.0
VER,11.0,MEDIUM,76.858,1.0
VER,12.0,MEDIUM,76.993,1.0
VER,13.0,MEDIUM,77.434,1.0
VER,14.0,MEDIUM,77.065,1.0
VER,15.0,MEDIUM,77.079,1.0
VER,16.0,MEDIUM,76.824,1.0
VER,17.0,MEDIUM,76.86,1.0
VER,18.0,MEDIUM,76.712,1.0
VER,19.0,MEDIUM,76.823,1.0
VER,20.0,MEDIUM,77.214,1.0
VER,21.0,MEDIUM,76.803,1.0
VER,22.0,MEDIUM,76.659,1.0
VER,23.0,MEDIUM,76.604,1.0
VER,24.0,MEDIUM,76.798,1.0
VER,25.0,MEDIUM,77.183,1.0
VER,26.0,MEDIUM,77.212,1.0
VER,27.0,MEDIUM,77.259,1.0
VER,28.0,MEDIUM,77.77,1.0
VER,29.0,MEDIUM,78.001,1.0
VER,30.0,MEDIUM,78.16,1.0
VER,31.0,MEDIUM,78.741,1.0
VER,32.0,MEDIUM,78.816,1.0
VER,33.0,MEDIUM,78.946,1.0
VER,34.0,MEDIUM,78.044,1.0
VER,35.0,MEDIUM,78.024,1.0
VER,36.0,MEDIUM,77.974,1.0
VER,37.0,MEDIUM,77.273,1.0
VER,38.0,MEDIUM,77.122,1.0
VER,39.0,MEDIUM,76.966,1.0
VER,40.0,MEDIUM,77.161,1.0
VER,41.0,MEDIUM,76.944,1.0
VER,42.0,MEDIUM,76.8,1.0
VER,43.0,MEDIUM,76.963,1.0
VER,44.0,MEDIUM,76.722,1.0
VER,45.0,MEDIUM,76.701,1.0
VER,46.0,MEDIUM,77.075,1.0
VER,47.0,MEDIUM,77.16,1.0
VER,48.0,MEDIUM,77.065,1.0
VER,49.0,MEDIUM,77.428,1.0
VER,50.0,MEDIUM,77.314,1.0
VER,51.0,MEDIUM,77.427,1.0
VER,52.0,MEDIUM,84.046,1.0
VER,53.0,MEDIUM,89.919,1.0
VER,54.0,MEDIUM,98.946,1.0
VER,55.0,MEDIUM,130.567,1.0
VER,56.0,INTERMEDIATE,106.131,1.0
VER,57.0,INTERMEDIATE,103.464,1.0
VER,58.0,INTERMEDIATE,102.808,1.0
VER,59.0,INTERMEDIATE,103.791,1.0
VER,60.0,INTERMEDIATE,101.54,1.0
VER,61.0,INTERMEDIATE,100.797,1.0
VER,62.0,INTERMEDIATE,99.272,1.0
VER,63.0,INTERMEDIATE,99.61,1.0
VER,64.0,INTERMEDIATE,98.364,1.0
VER,65.0,INTERMEDIATE,97.16,1.0
VER,66.0,INTERMEDIATE,94.035,1.0
VER,67.0,INTERMEDIATE,92.921,1.0
VER,68.0,INTERMEDIATE,93.659,1.0
VER,69.0,INTERMEDIATE,91.607,1.0
VER,70.0,INTERMEDIATE,91.244,1.0
VER,71.0,INTERMEDIATE,90.363,1.0
VER,72.0,INTERMEDIATE,90.402,1.0
VER,73.0,INTERMEDIATE,88.386,1.0
VER,74.0,INTERMEDIATE,86.864,1.0
VER,75.0,INTERMEDIATE,85.518,1.0
VER,76.0,INTERMEDIATE,85.316,1.0
VER,77.0,INTERMEDIATE,85.46,1.0
VER,78.0,INTERMEDIATE,85.201,1.0
GAS,1.0,HARD,89.701,7.0
GAS,2.0,HARD,80.636,7.0
GAS,3.0,HARD,80.282,7.0
GAS,4.0,HARD,79.577,7.0
GAS,5.0,HARD,78.893,7.0
GAS,6.0,HARD,78.842,7.0
GAS,7.0,HARD,78.604,7.0
GAS,8.0,HARD,79.317,7.0
GAS,9.0,HARD,78.788,7.0
GAS,10.0,HARD,78.31,7.0
GAS,11.0,HARD,78.367,7.0
GAS,12.0,HARD,78.582,7.0
GAS,13.0,HARD,77.713,7.0
GAS,14.0,HARD,78.564,7.0
GAS,15.0,HARD,78.284,7.0
GAS,16.0,HARD,78.298,7.0
GAS,17.0,HARD,77.99,7.0
GAS,18.0,HARD,78.453,7.0
GAS,19.0,HARD,78.109,7.0
GAS,20.0,HARD,78.587,7.0
GAS,21.0,HARD,77.81,7.0
GAS,22.0,HARD,78.213,7.0
GAS,23.0,HARD,77.942,7.0
GAS,24.0,HARD,77.577,7.0
GAS,25.0,HARD,77.54,7.0
GAS,26.0,HARD,77.912,7.0
GAS,27.0,HARD,78.012,7.0
GAS,28.0,HARD,77.285,7.0
GAS,29.0,HARD,77.373,7.0
GAS,30.0,HARD,77.083,7.0
GAS,31.0,HARD,78.015,6.0
GAS,32.0,HARD,77.384,5.0
GAS,33.0,HARD,77.45,4.0
GAS,34.0,HARD,77.207,4.0
GAS,35.0,HARD,77.421,4.0
GAS,36.0,HARD,77.668,4.0
GAS,37.0,HARD,77.212,4.0
GAS,38.0,HARD,77.556,4.0
GAS,39.0,HARD,77.102,4.0
GAS,40.0,HARD,77.221,4.0
GAS,41.0,HARD,77.654,4.0
GAS,42.0,HARD,78.559,4.0
GAS,43.0,HARD,77.699,4.0
GAS,44.0,HARD,78.042,3.0
GAS,45.0,HARD,76.839,3.0
GAS,46.0,HARD,76.997,3.0
GAS,47.0,HARD,93.267,7.0
GAS,48.0,MEDIUM,79.884,8.0
GAS,49.0,MEDIUM,75.831,8.0
GAS,50.0,MEDIUM,75.955,8.0
GAS,51.0,MEDIUM,76.711,8.0
GAS,52.0,MEDIUM,82.349,8.0
GAS,53.0,MEDIUM,95.781,8.0
GAS,54.0,MEDIUM,121.097,8.0
GAS,55.0,INTERMEDIATE,103.22,7.0
GAS,56.0,INTERMEDIATE,101.478,7.0
GAS,57.0,INTERMEDIATE,103.496,7.0
GAS,58.0,INTERMEDIATE,103.238,7.0
GAS,59.0,INTERMEDIATE,103.477,7.0
GAS,60.0,INTERMEDIATE,102.923,7.0
GAS,61.0,INTERMEDIATE,102.263,7.0
GAS,62.0,INTERMEDIATE,100.864,7.0
GAS,63.0,INTERMEDIATE,100.28,7.0
GAS,64.0,INTERMEDIATE,99.374,7.0
GAS,65.0,INTERMEDIATE,98.169,7.0
GAS,66.0,INTERMEDIATE,96.252,7.0
GAS,67.0,INTERMEDIATE,94.612,7.0
GAS,68.0,INTERMEDIATE,93.318,7.0
GAS,69.0,INTERMEDIATE,96.097,7.0
GAS,70.0,INTERMEDIATE,91.098,7.0
GAS,71.0,INTERMEDIATE,90.098,7.0
GAS,72.0,INTERMEDIATE,89.916,7.0
GAS,73.0,INTERMEDIATE,88.128,7.0
GAS,74.0,INTERMEDIATE,87.856,7.0
GAS,75.0,INTERMEDIATE,86.378,7.0
GAS,76.0,INTERMEDIATE,86.077,7.0
GAS,77.0,INTERMEDIATE,85.607,7.0
GAS,78.0,INTERMEDIATE,86.578,7.0
PER,1.0,MEDIUM,118.19,18.0
PER,2.0,HARD,79.704,18.0
PER,3.0,HARD,76.387,18.0
PER,4.0,HARD,76.535,18.0
PER,5.0,HARD,76.269,18.0
PER,6.0,HARD,76.458,18.0
PER,7.0,HARD,77.399,18.0
PER,8.0,HARD,77.937,18.0
PER,9.0,HARD,78.254,18.0
PER,10.0,HARD,79.787,18.0
PER,11.0,HARD,79.848,18.0
PER,12.0,HARD,80.433,18.0
PER,13.0,HARD,80.797,18.0
PER,14.0,HARD,80.283,18.0
PER,15.0,HARD,80.418,18.0
PER,16.0,HARD,80.487,18.0
PER,17.0,HARD,81.315,17.0
PER,18.0,HARD,78.092,16.0
PER,19.0,HARD,77.867,16.0
PER,20.0,HARD,77.979,16.0
PER,21.0,HARD,78.523,16.0
PER,22.0,HARD,78.803,16.0
PER,23.0,HARD,78.604,16.0
PER,24.0,HARD,78.624,16.0
PER,25.0,HARD,78.541,16.0
PER,26.0,HARD,79.877,16.0
PER,27.0,HARD,79.319,16.0
PER,28.0,HARD,79.611,16.0
PER,29.0,HARD,79.986,16.0
PER,30.0,HARD,80.771,16.0
PER,31.0,HARD,79.292,15.0
PER,32.0,HARD,79.607,15.0
PER,33.0,HARD,82.083,16.0
PER,34.0,HARD,106.451,19.0
PER,35.0,MEDIUM,79.581,19.0
PER,36.0,MEDIUM,76.882,19.0
PER,37.0,MEDIUM,76.706,19.0
PER,38.0,MEDIUM,76.353,19.0
PER,39.0,MEDIUM,76.445,19.0
PER,40.0,MEDIUM,76.755,19.0
PER,41.0,MEDIUM,77.959,19.0
PER,42.0,MEDIUM,77.46,19.0
PER,43.0,MEDIUM,77.847,19.0
PER,44.0,MEDIUM,77.616,19.0
PER,45.0,MEDIUM,77.128,19.0
PER,46.0,MEDIUM,77.047,19.0
PER,47.0,MEDIUM,76.859,19.0
PER,48.0,MEDIUM,76.98,19.0
PER,49.0,MEDIUM,78.524,19.0
PER,50.0,MEDIUM,84.856,19.0
PER,51.0,MEDIUM,85.645,17.0
PER,52.0,MEDIUM,98.2,15.0
PER,53.0,MEDIUM,115.544,19.0
PER,54.0,INTERMEDIATE,102.332,17.0
PER,55.0,INTERMEDIATE,100.446,17.0
PER,56.0,INTERMEDIATE,105.055,16.0
PER,57.0,INTERMEDIATE,125.839,17.0
PER,58.0,WET,105.989,17.0
PER,59.0,WET,100.595,16.0
PER,60.0,WET,101.082,16.0
PER,61.0,WET,101.22,16.0
PER,62.0,WET,99.631,16.0
PER,63.0,WET,99.405,16.0
PER,64.0,WET,97.112,16.0
PER,65.0,WET,97.675,16.0
PER,66.0,WET,96.451,16.0
PER,67.0,WET,95.957,16.0
PER,68.0,WET,96.297,16.0
PER,69.0,WET,95.708,16.0
PER,70.0,WET,118.066,17.0
PER,71.0,INTERMEDIATE,96.744,17.0
PER,72.0,INTERMEDIATE,89.537,17.0
PER,73.0,INTERMEDIATE,86.82,17.0
PER,74.0,INTERMEDIATE,85.704,17.0
PER,75.0,INTERMEDIATE,94.148,17.0
PER,76.0,INTERMEDIATE,90.273,17.0
ALO,1.0,HARD,85.527,2.0
ALO,2.0,HARD,79.646,2.0
ALO,3.0,HARD,79.113,2.0
ALO,4.0,HARD,78.776,2.0
ALO,5.0,HARD,77.939,2.0
ALO,6.0,HARD,77.952,2.0
ALO,7.0,HARD,77.505,2.0
ALO,8.0,HARD,77.391,2.0
ALO,9.0,HARD,77.783,2.0
ALO,10.0,HARD,77.324,2.0
ALO,11.0,HARD,77.249,2.0
ALO,12.0,HARD,77.588,2.0
ALO,13.0,HARD,78.443,2.0
ALO,14.0,HARD,77.508,2.0
ALO,15.0,HARD,77.444,2.0
ALO,16.0,HARD,77.17,2.0
ALO,17.0,HARD,77.699,2.0
ALO,18.0,HARD,77.528,2.0
ALO,19.0,HARD,77.258,2.0
ALO,20.0,HARD,77.13,2.0
ALO,21.0,HARD,77.664,2.0
ALO,22.0,HARD,77.947,2.0
ALO,23.0,HARD,77.272,2.0
ALO,24.0,HARD,77.285,2.0
ALO,25.0,HARD,77.182,2.0
ALO,26.0,HARD,77.141,2.0
ALO,27.0,HARD,77.228,2.0
ALO,28.0,HARD,77.562,2.0
ALO,29.0,HARD,77.111,2.0
ALO,30.0,HARD,76.965,2.0
ALO,31.0,HARD,77.259,2.0
ALO,32.0,HARD,77.637,2.0
ALO,33.0,HARD,77.816,2.0
ALO,34.0,HARD,79.297,2.0
ALO,35.0,HARD,78.634,2.0
ALO,36.0,HARD,77.876,2.0
ALO,37.0,HARD,77.974,2.0
ALO,38.0,HARD,77.141,2.0
ALO,39.0,HARD,77.705,2.0
ALO,40.0,HARD,77.63,2.0
ALO,41.0,HARD,77.016,2.0
ALO,42.0,HARD,76.719,2.0
ALO,43.0,HARD,76.674,2.0
ALO,44.0,HARD,76.919,2.0
ALO,45.0,HARD,76.862,2.0
ALO,46.0,HARD,77.114,2.0
ALO,47.0,HARD,77.108,2.0
ALO,48.0,HARD,76.931,2.0
ALO,49.0,HARD,76.992,2.0
ALO,50.0,HARD,77.408,2.0
ALO,51.0,HARD,79.991,2.0
ALO,52.0,HARD,84.967,2.0
ALO,53.0,HARD,90.862,2.0
ALO,54.0,HARD,110.311,2.0
ALO,55.0,MEDIUM,126.635,2.0
ALO,56.0,INTERMEDIATE,108.531,2.0
ALO,57.0,INTERMEDIATE,102.581,2.0
ALO,58.0,INTERMEDIATE,101.267,2.0
ALO,59.0,INTERMEDIATE,100.897,2.0
ALO,60.0,INTERMEDIATE,100.638,2.0
ALO,61.0,INTERMEDIATE,102.727,2.0
ALO,62.0,INTERMEDIATE,100.467,2.0
ALO,63.0,INTERMEDIATE,99.671,2.0
ALO,64.0,INTERMEDIATE,98.135,2.0
ALO,65.0,INTERMEDIATE,97.64,2.0
ALO,66.0,INTERMEDIATE,96.332,2.0
ALO,67.0,INTERMEDIATE,93.205,2.0
ALO,68.0,INTERMEDIATE,92.841,2.0
ALO,69.0,INTERMEDIATE,93.864,2.0
ALO,70.0,INTERMEDIATE,91.23,2.0
ALO,71.0,INTERMEDIATE,91.057,2.0
ALO,72.0,INTERMEDIATE,89.419,2.0
ALO,73.0,INTERMEDIATE,90.346,2.0
ALO,74.0,INTERMEDIATE,87.245,2.0
ALO,75.0,INTERMEDIATE,85.7,2.0
ALO,76.0,INTERMEDIATE,86.931,2.0
ALO,77.0,INTERMEDIATE,84.701,2.0
ALO,78.0,INTERMEDIATE,85.668,2.0
LEC,1.0,HARD,89.108,6.0
LEC,2.0,HARD,80.549,6.0
LEC,3.0,HARD,80.021,6.0
LEC,4.0,HARD,79.468,6.0
LEC,5.0,HARD,78.837,6.0
LEC,6.0,HARD,78.829,6.0
LEC,7.0,HARD,78.645,6.0
LEC,8.0,HARD,79.165,6.0
LEC,9.0,HARD,78.809,6.0
LEC,10.0,HARD,78.219,6.0
LEC,11.0,HARD,78.162,6.0
LEC,12.0,HARD,78.15,6.0
LEC,13.0,HARD,78.018,6.0
LEC,14.0,HARD,78.394,6.0
LEC,15.0,HARD,78.312,6.0
LEC,16.0,HARD,78.316,6.0
LEC,17.0,HARD,78.234,6.0
LEC,18.0,HARD,78.361,6.0
LEC,19.0,HARD,78.19,6.0
LEC,20.0,HARD,78.365,6.0
LEC,21.0,HARD,78.127,6.0
LEC,22.0,HARD,77.886,6.0
LEC,23.0,HARD,77.922,6.0
LEC,24.0,HARD,77.586,6.0
LEC,25.0,HARD,77.619,6.0
LEC,26.0,HARD,77.879,6.0
LEC,27.0,HARD,77.602,6.0
LEC,28.0,HARD,77.48,6.0
LEC,29.0,HARD,77.065,6.0
LEC,30.0,HARD,77.559,6.0
LEC,31.0,HARD,77.876,5.0
LEC,32.0,HARD,77.282,4.0
LEC,33.0,HARD,77.163,3.0
LEC,34.0,HARD,77.461,3.0
LEC,35.0,HARD,77.467,3.0
LEC,36.0,HARD,77.491,3.0
LEC,37.0,HARD,77.361,3.0
LEC,38.0,HARD,77.483,3.0
LEC,39.0,HARD,77.213,3.0
LEC,40.0,HARD,77.237,3.0
LEC,41.0,HARD,78.328,3.0
LEC,42.0,HARD,77.801,3.0
LEC,43.0,HARD,78.451,3.0
LEC,44.0,HARD,95.442,8.0
LEC,45.0,MEDIUM,79.563,8.0
LEC,46.0,MEDIUM,75.773,8.0
LEC,47.0,MEDIUM,76.358,8.0
LEC,48.0,MEDIUM,76.971,7.0
LEC,49.0,MEDIUM,76.283,7.0
LEC,50.0,MEDIUM,75.956,7.0
LEC,51.0,MEDIUM,77.017,7.0
LEC,52.0,MEDIUM,83.243,7.0
LEC,53.0,MEDIUM,93.259,7.0
LEC,54.0,MEDIUM,95.725,4.0
LEC,55.0,MEDIUM,129.246,6.0
LEC,56.0,INTERMEDIATE,103.008,6.0
LEC,57.0,INTERMEDIATE,103.373,6.0
LEC,58.0,INTERMEDIATE,103.473,6.0
LEC,59.0,INTERMEDIATE,102.305,6.0
LEC,60.0,INTERMEDIATE,102.852,6.0
LEC,61.0,INTERMEDIATE,102.262,6.0
LEC,62.0,INTERMEDIATE,101.144,6.0
LEC,63.0,INTERMEDIATE,100.396,6.0
LEC,64.0,INTERMEDIATE,99.223,6.0
LEC,65.0,INTERMEDIATE,98.481,6.0
LEC,66.0,INTERMEDIATE,95.05,6.0
LEC,67.0,INTERMEDIATE,94.515,6.0
LEC,68.0,INTERMEDIATE,93.903,6.0
LEC,69.0,INTERMEDIATE,95.087,6.0
LEC,70.0,INTERMEDIATE,92.309,6.0
LEC,71.0,INTERMEDIATE,90.198,6.0
LEC,72.0,INTERMEDIATE,88.677,6.0
LEC,73.0,INTERMEDIATE,89.177,6.0
LEC,74.0,INTERMEDIATE,87.848,6.0
LEC,75.0,INTERMEDIATE,86.923,6.0
LEC,76.0,INTERMEDIATE,86.435,6.0
LEC,77.0,INTERMEDIATE,85.965,6.0
LEC,78.0,INTERMEDIATE,86.939,6.0
STR,1.0,HARD,99.562,17.0
STR,2.0,HARD,79.989,17.0
STR,3.0,HARD,79.928,17.0
STR,4.0,HARD,79.998,17.0
STR,5.0,HARD,80.438,17.0
STR,6.0,HARD,79.785,17.0
STR,7.0,HARD,79.417,17.0
STR,8.0,HARD,78.733,17.0
STR,9.0,HARD,78.659,17.0
STR,10.0,HARD,79.893,17.0
STR,11.0,HARD,79.758,17.0
STR,12.0,HARD,80.639,17.0
STR,13.0,HARD,80.847,17.0
STR,14.0,HARD,80.295,17.0
STR,15.0,HARD,80.203,17.0
STR,16.0,HARD,80.545,17.0
STR,17.0,HARD,81.17,16.0
STR,18.0,HARD,77.769,15.0
STR,19.0,HARD,77.915,15.0
STR,20.0,HARD,78.061,15.0
STR,21.0,HARD,78.594,15.0
STR,22.0,HARD,78.548,15.0
STR,23.0,HARD,78.927,15.0
STR,24.0,HARD,78.439,15.0
STR,25.0,HARD,79.058,15.0
STR,26.0,HARD,78.926,15.0
STR,27.0,HARD,79.772,15.0
STR,28.0,HARD,79.86,15.0
STR,29.0,HARD,79.831,15.0
STR,30.0,HARD,79.86,15.0
STR,31.0,HARD,81.753,16.0
STR,32.0,HARD,79.387,16.0
STR,33.0,HARD,80.446,15.0
STR,34.0,HARD,78.583,15.0
STR,35.0,HARD,81.072,15.0
STR,36.0,HARD,79.544,15.0
STR,37.0,HARD,78.76,15.0
STR,38.0,HARD,78.424,15.0
STR,39.0,HARD,78.498,15.0
STR,40.0,HARD,78.498,15.0
STR,41.0,HARD,78.574,15.0
STR,42.0,HARD,78.732,15.0
STR,43.0,HARD,78.898,15.0
STR,44.0,HARD,78.533,15.0
STR,45.0,HARD,78.374,15.0
STR,46.0,HARD,78.723,15.0
STR,47.0,HARD,79.033,15.0
STR,48.0,HARD,78.573,15.0
STR,49.0,HARD,78.418,15.0
STR,50.0,HARD,80.218,15.0
STR,51.0,HARD,104.501,19.0
STR,52.0,INTERMEDIATE,92.189,17.0
STR,53.0,INTERMEDIATE,96.321,16.0
STR,54.0,INTERMEDIATE,,
SAR,1.0,MEDIUM,97.689,15.0
SAR,2.0,MEDIUM,79.658,15.0
SAR,3.0,MEDIUM,80.219,15.0
SAR,4.0,MEDIUM,80.246,15.0
SAR,5.0,MEDIUM,80.214,15.0
SAR,6.0,MEDIUM,79.312,15.0
SAR,7.0,MEDIUM,79.239,15.0
SAR,8.0,MEDIUM,78.947,15.0
SAR,9.0,MEDIUM,79.529,15.0
SAR,10.0,MEDIUM,80.334,15.0
SAR,11.0,MEDIUM,80.089,15.0
SAR,12.0,MEDIUM,80.638,15.0
SAR,13.0,MEDIUM,80.702,15.0
SAR,14.0,MEDIUM,80.318,15.0
SAR,15.0,MEDIUM,80.28,15.0
SAR,16.0,MEDIUM,80.471,15.0
SAR,17.0,MEDIUM,83.236,18.0
SAR,18.0,MEDIUM,81.41,17.0
SAR,19.0,MEDIUM,82.328,18.0
SAR,20.0,MEDIUM,97.211,20.0
SAR,21.0,HARD,81.646,20.0
SAR,22.0,HARD,77.483,20.0
SAR,23.0,HARD,98.195,20.0
SAR,24.0,SOFT,80.682,20.0
SAR,25.0,SOFT,77.894,20.0
SAR,26.0,SOFT,78.033,20.0
SAR,27.0,SOFT,77.875,20.0
SAR,28.0,SOFT,77.74,20.0
SAR,29.0,SOFT,77.753,20.0
SAR,30.0,SOFT,77.535,20.0
SAR,31.0,SOFT,77.493,20.0
SAR,32.0,SOFT,77.302,20.0
SAR,33.0,SOFT,77.344,20.0
SAR,34.0,SOFT,77.666,20.0
SAR,35.0,SOFT,78.638,20.0
SAR,36.0,SOFT,77.372,20.0
SAR,37.0,SOFT,77.383,20.0
SAR,38.0,SOFT,80.017,20.0
SAR,39.0,SOFT,81.035,20.0
SAR,40.0,SOFT,79.469,20.0
SAR,41.0,SOFT,78.519,20.0
SAR,42.0,SOFT,78.625,20.0
SAR,43.0,SOFT,78.773,20.0
SAR,44.0,SOFT,82.125,20.0
SAR,45.0,SOFT,79.618,20.0
SAR,46.0,SOFT,79.028,20.0
SAR,47.0,SOFT,78.91,20.0
SAR,48.0,SOFT,79.212,20.0
SAR,49.0,SOFT,82.128,20.0
SAR,50.0,SOFT,83.12,20.0
SAR,51.0,SOFT,92.385,20.0
SAR,52.0,SOFT,117.918,20.0
SAR,53.0,INTERMEDIATE,102.041,20.0
SAR,54.0,INTERMEDIATE,98.806,19.0
SAR,55.0,INTERMEDIATE,101.078,19.0
SAR,56.0,INTERMEDIATE,102.285,18.0
SAR,57.0,INTERMEDIATE,118.063,18.0
SAR,58.0,INTERMEDIATE,102.599,18.0
SAR,59.0,INTERMEDIATE,103.687,18.0
SAR,60.0,INTERMEDIATE,102.558,18.0
SAR,61.0,INTERMEDIATE,100.969,18.0
SAR,62.0,INTERMEDIATE,99.586,18.0
SAR,63.0,INTERMEDIATE,103.289,18.0
SAR,64.0,INTERMEDIATE,98.302,18.0
SAR,65.0,INTERMEDIATE,98.073,18.0
SAR,66.0,INTERMEDIATE,96.293,18.0
SAR,67.0,INTERMEDIATE,99.467,18.0
SAR,68.0,INTERMEDIATE,91.921,18.0
